node_id,ip,port,country,asn,node_type,first_seen,last_seen
N0021,203.0.113.92,8334,DE,AS10003,standard_peer,2025-10-14T17:43:47.639075,2025-10-14T18:06:38.484634
N0022,203.0.113.101,8333,KR,AS10036,standard_peer,2025-10-14T17:44:19.639075,2025-10-14T18:05:01.484634
N0023,198.51.100.82,8333,CA,AS10032,standard_peer,2025-10-14T17:46:05.639075,2025-10-14T18:08:09.484634
N0024,203.0.113.124,8333,IN,AS10022,standard_peer,2025-10-14T17:46:56.639075,2025-10-14T18:04:35.484634
N0025,198.51.100.74,8333,US,AS10001,standard_peer,2025-10-14T17:47:32.639075,2025-10-14T18:04:42.484634
N0026,198.51.100.177,8333,SG,AS10009,standard_peer,2025-10-14T17:43:35.639075,2025-10-14T18:04:36.484634
N0027,203.0.113.191,8333,US,AS10002,standard_peer,2025-10-14T17:45:55.639075,2025-10-14T18:04:52.484634
N0028,203.0.113.54,8333,US,AS10000,standard_peer,2025-10-14T17:43:45.639075,2025-10-14T18:07:42.484634
N0029,203.0.113.190,8333,GB,AS10020,anomalous_peer,2025-10-14T17:46:35.639075,2025-10-14T18:08:36.484634
N0030,198.51.100.187,8333,IN,AS10022,standard_peer,2025-10-14T17:45:58.639075,2025-10-14T18:07:48.484634
N0031,192.0.2.14,8333,AU,AS10035,standard_peer,2025-10-14T17:48:00.639075,2025-10-14T18:04:59.484634
N0032,203.0.113.56,8333,DE,AS10003,standard_peer,2025-10-14T17:46:42.639075,2025-10-14T18:06:24.484634
N0033,203.0.113.77,8333,NL,AS10006,standard_peer,2025-10-14T17:46:28.639075,2025-10-14T18:05:37.484634
N0034,192.0.2.9,8333,SG,AS10009,standard_peer,2025-10-14T17:48:29.639075,2025-10-14T18:07:38.484634
N0035,203.0.113.82,8333,US,AS10002,standard_peer,2025-10-14T17:44:30.639075,2025-10-14T18:06:38.484634
N0036,192.0.2.10,8433,US,AS10002,standard_peer,2025-10-14T17:46:06.639075,2025-10-14T18:08:01.484634
N0037,198.51.100.138,18333,SG,AS10010,standard_peer,2025-10-14T17:46:49.639075,2025-10-14T18:07:46.484634
N0038,192.0.2.172,18333,DE,AS10005,standard_peer,2025-10-14T17:47:14.639075,2025-10-14T18:06:25.484634
N0039,192.0.2.16,8333,FR,AS10015,standard_peer,2025-10-14T17:48:00.639075,2025-10-14T18:05:33.484634
N0040,192.0.2.79,8333,NL,AS10008,low_degree_peer,2025-10-14T17:43:39.639075,2025-10-14T18:06:36.484634
N0041,203.0.113.249,8333,BR,AS10025,standard_peer,2025-10-14T17:45:55.639075,2025-10-14T18:07:35.484634
N0042,192.0.2.243,8333,GB,AS10020,standard_peer,2025-10-14T17:43:54.639075,2025-10-14T18:08:21.484634
N0043,203.0.113.52,8333,DE,AS10005,standard_peer,2025-10-14T17:48:10.639075,2025-10-14T18:07:50.484634
N0044,192.0.2.151,8333,BR,AS10026,standard_peer,2025-10-14T17:46:22.639075,2025-10-14T18:04:22.484634
N0045,203.0.113.18,8334,BR,AS10026,standard_peer,2025-10-14T17:46:13.639075,2025-10-14T18:09:04.484634
N0046,198.51.100.202,18333,NL,AS10007,standard_peer,2025-10-14T17:44:05.639075,2025-10-14T18:07:55.484634
N0047,203.0.113.145,8333,DE,AS10003,standard_peer,2025-10-14T17:43:31.639075,2025-10-14T18:07:52.484634
N0048,203.0.113.128,8333,GB,AS10019,standard_peer,2025-10-14T17:47:44.639075,2025-10-14T18:08:09.484634
N0049,198.51.100.108,8333,US,AS10001,standard_peer,2025-10-14T17:45:46.639075,2025-10-14T18:05:02.484634
N0050,198.51.100.15,8333,US,AS10001,low_degree_peer,2025-10-14T17:45:00.639075,2025-10-14T18:08:22.484634
N0051,198.51.100.238,8333,US,AS10001,standard_peer,2025-10-14T17:43:49.639075,2025-10-14T18:04:27.484634
N0052,192.0.2.6,8333,IN,AS10022,low_degree_peer,2025-10-14T17:46:21.639075,2025-10-14T18:06:54.484634
N0053,203.0.113.141,8000,FR,AS10017,standard_peer,2025-10-14T17:48:30.639075,2025-10-14T18:08:46.484634
N0054,198.51.100.97,8333,GB,AS10018,standard_peer,2025-10-14T17:46:54.639075,2025-10-14T18:08:34.484634
N0055,198.51.100.169,8333,IN,AS10022,standard_peer,2025-10-14T17:44:44.639075,2025-10-14T18:04:35.484634
N0056,203.0.113.235,8333,NL,AS10008,standard_peer,2025-10-14T17:47:23.639075,2025-10-14T18:06:36.484634
N0057,198.51.100.39,8333,JP,AS10014,low_degree_peer,2025-10-14T17:44:22.639075,2025-10-14T18:05:11.484634
N0058,198.51.100.165,18333,US,AS10002,standard_peer,2025-10-14T17:47:09.639075,2025-10-14T18:06:48.484634
N0059,192.0.2.25,8333,US,AS10002,standard_peer,2025-10-14T17:45:02.639075,2025-10-14T18:04:56.484634
N0060,203.0.113.133,8333,FR,AS10015,low_degree_peer,2025-10-14T17:44:34.639075,2025-10-14T18:05:09.484634
N0061,198.51.100.224,8333,SG,AS10009,standard_peer,2025-10-14T17:44:15.639075,2025-10-14T18:06:38.484634
N0062,203.0.113.119,8333,JP,AS10013,standard_peer,2025-10-14T17:44:58.639075,2025-10-14T18:08:16.484634
N0063,203.0.113.203,8333,IN,AS10021,low_degree_peer,2025-10-14T17:44:37.639075,2025-10-14T18:08:51.484634
N0064,192.0.2.59,18333,FR,AS10017,standard_peer,2025-10-14T17:44:10.639075,2025-10-14T18:05:18.484634
N0065,192.0.2.178,8333,JP,AS10013,low_degree_peer,2025-10-14T17:44:58.639075,2025-10-14T18:07:03.484634
N0066,198.51.100.248,8333,JP,AS10014,low_degree_peer,2025-10-14T17:46:14.639075,2025-10-14T18:04:10.484634
N0067,198.51.100.9,8333,DE,AS10004,standard_peer,2025-10-14T17:43:30.639075,2025-10-14T18:09:05.484634
N0068,192.0.2.34,8333,US,AS10001,low_degree_peer,2025-10-14T17:47:14.639075,2025-10-14T18:07:57.484634
N0069,192.0.2.199,8333,NL,AS10007,standard_peer,2025-10-14T17:45:40.639075,2025-10-14T18:08:51.484634
N0070,203.0.113.7,8333,US,AS10001,standard_peer,2025-10-14T17:44:37.639075,2025-10-14T18:06:53.484634
N0071,198.51.100.67,8333,NL,AS10008,standard_peer,2025-10-14T17:46:28.639075,2025-10-14T18:09:01.484634
N0072,192.0.2.18,8333,RU,AS10028,low_degree_peer,2025-10-14T17:48:08.639075,2025-10-14T18:06:51.484634
N0073,198.51.100.156,8333,DE,AS10005,low_degree_peer,2025-10-14T17:45:15.639075,2025-10-14T18:07:26.484634
N0074,192.0.2.11,8333,US,AS10002,standard_peer,2025-10-14T17:47:13.639075,2025-10-14T18:08:22.484634
N0075,192.0.2.139,8333,DE,AS10003,standard_peer,2025-10-14T17:44:13.639075,2025-10-14T18:06:58.484634
N0076,192.0.2.213,8333,DE,AS10004,standard_peer,2025-10-14T17:47:39.639075,2025-10-14T18:08:38.484634
N0077,203.0.113.70,8333,FR,AS10015,standard_peer,2025-10-14T17:47:17.639075,2025-10-14T18:07:38.484634
N0078,192.0.2.201,8333,JP,AS10012,standard_peer,2025-10-14T17:47:52.639075,2025-10-14T18:08:09.484634
N0079,203.0.113.62,8333,IN,AS10022,low_degree_peer,2025-10-14T17:45:37.639075,2025-10-14T18:07:32.484634
N0080,192.0.2.102,8333,FR,AS10016,standard_peer,2025-10-14T17:43:57.639075,2025-10-14T18:07:23.484634
N0081,203.0.113.24,8333,NL,AS10008,standard_peer,2025-10-14T17:44:21.639075,2025-10-14T18:08:46.484634
N0082,198.51.100.12,8334,BR,AS10024,low_degree_peer,2025-10-14T17:46:03.639075,2025-10-14T18:06:05.484634
N0083,198.51.100.145,8333,US,AS10001,low_degree_peer,2025-10-14T17:47:40.639075,2025-10-14T18:05:00.484634
N0084,192.0.2.237,8333,US,AS10002,low_degree_peer,2025-10-14T17:45:57.639075,2025-10-14T18:04:23.484634
N0085,198.51.100.154,8334,US,AS10001,standard_peer,2025-10-14T17:45:27.639075,2025-10-14T18:07:20.484634
N0086,192.0.2.87,8333,GB,AS10018,low_degree_peer,2025-10-14T17:43:59.639075,2025-10-14T18:07:39.484634
N0087,198.51.100.122,8333,SG,AS10009,monitoring_node,2025-10-14T17:47:03.639075,2025-10-14T18:05:38.484634
N0088,192.0.2.216,8000,US,AS10002,monitoring_node,2025-10-14T17:46:27.639075,2025-10-14T18:08:23.484634
N0089,203.0.113.245,8333,SG,AS10009,standard_peer,2025-10-14T17:46:32.639075,2025-10-14T18:08:05.484634
N0090,203.0.113.118,8333,US,AS10001,low_degree_peer,2025-10-14T17:46:20.639075,2025-10-14T18:04:13.484634
N0091,203.0.113.230,8333,GB,AS10019,low_degree_peer,2025-10-14T17:46:03.639075,2025-10-14T18:08:48.484634
N0092,203.0.113.251,8333,NL,AS10007,low_degree_peer,2025-10-14T17:45:34.639075,2025-10-14T18:09:09.484634
N0093,203.0.113.178,8333,NL,AS10007,standard_peer,2025-10-14T17:46:22.639075,2025-10-14T18:08:02.484634
N0094,203.0.113.176,8333,DE,AS10003,monitoring_node,2025-10-14T17:45:14.639075,2025-10-14T18:08:16.484634
N0095,203.0.113.100,8000,FR,AS10017,standard_peer,2025-10-14T17:45:27.639075,2025-10-14T18:09:03.484634
N0096,192.0.2.29,8333,NL,AS10008,low_degree_peer,2025-10-14T17:45:59.639075,2025-10-14T18:04:20.484634
N0097,203.0.113.154,8333,US,AS10002,anomalous_peer,2025-10-14T17:45:08.639075,2025-10-14T18:06:29.484634
N0098,192.0.2.185,8334,US,AS10002,standard_peer,2025-10-14T17:44:16.639075,2025-10-14T18:06:35.484634
N0099,203.0.113.228,8333,AU,AS10033,low_degree_peer,2025-10-14T17:45:30.639075,2025-10-14T18:06:01.484634
N0100,198.51.100.196,8333,CA,AS10032,low_degree_peer,2025-10-14T17:46:22.639075,2025-10-14T18:05:19.484634
N0101,198.51.100.128,8333,GB,AS10020,standard_peer,2025-10-14T17:48:10.639075,2025-10-14T18:06:47.484634
N0102,198.51.100.190,8333,DE,AS10003,standard_peer,2025-10-14T17:43:34.639075,2025-10-14T18:07:15.484634
N0103,203.0.113.49,8333,AU,AS10033,low_degree_peer,2025-10-14T17:45:59.639075,2025-10-14T18:06:56.484634
N0104,203.0.113.29,8333,IN,AS10021,low_degree_peer,2025-10-14T17:46:48.639075,2025-10-14T18:05:16.484634
N0105,192.0.2.165,8333,GB,AS10019,low_degree_peer,2025-10-14T17:43:59.639075,2025-10-14T18:08:25.484634
N0106,192.0.2.175,8333,NL,AS10006,low_degree_peer,2025-10-14T17:46:19.639075,2025-10-14T18:08:15.484634
N0107,198.51.100.184,8333,DE,AS10004,monitoring_node,2025-10-14T17:45:37.639075,2025-10-14T18:05:07.484634
N0108,198.51.100.228,8333,US,AS10000,standard_peer,2025-10-14T17:47:18.639075,2025-10-14T18:06:04.484634
N0109,203.0.113.127,8333,CA,AS10032,monitoring_node,2025-10-14T17:45:07.639075,2025-10-14T18:08:54.484634
N0110,203.0.113.37,8333,NL,AS10007,low_degree_peer,2025-10-14T17:48:23.639075,2025-10-14T18:06:24.484634
N0111,203.0.113.129,8333,US,AS10001,standard_peer,2025-10-14T17:45:22.639075,2025-10-14T18:06:23.484634
N0112,203.0.113.23,8333,DE,AS10005,low_degree_peer,2025-10-14T17:45:20.639075,2025-10-14T18:05:04.484634
N0113,192.0.2.242,8333,JP,AS10013,low_degree_peer,2025-10-14T17:48:18.639075,2025-10-14T18:08:56.484634
N0114,192.0.2.3,8333,US,AS10002,standard_peer,2025-10-14T17:46:37.639075,2025-10-14T18:04:41.484634
N0115,203.0.113.243,8333,RU,AS10028,low_degree_peer,2025-10-14T17:45:56.639075,2025-10-14T18:07:38.484634
N0116,192.0.2.75,8334,IN,AS10021,standard_peer,2025-10-14T17:45:55.639075,2025-10-14T18:08:21.484634
N0117,192.0.2.230,18333,GB,AS10020,anomalous_peer,2025-10-14T17:47:21.639075,2025-10-14T18:07:27.484634
N0118,198.51.100.204,8333,NL,AS10008,low_degree_peer,2025-10-14T17:43:54.639075,2025-10-14T18:07:43.484634
N0119,198.51.100.106,8333,FR,AS10017,low_degree_peer,2025-10-14T17:47:11.639075,2025-10-14T18:07:41.484634
N0120,198.51.100.87,8333,JP,AS10013,standard_peer,2025-10-14T17:45:02.639075,2025-10-14T18:06:32.484634
N0121,198.51.100.139,8433,FR,AS10015,low_degree_peer,2025-10-14T17:44:43.639075,2025-10-14T18:07:56.484634
N0122,203.0.113.26,8333,US,AS10001,low_degree_peer,2025-10-14T17:47:40.639075,2025-10-14T18:07:17.484634
N0123,198.51.100.253,8333,NL,AS10008,low_degree_peer,2025-10-14T17:45:27.639075,2025-10-14T18:04:40.484634
N0124,198.51.100.229,8333,US,AS10000,low_degree_peer,2025-10-14T17:47:28.639075,2025-10-14T18:08:01.484634
N0125,203.0.113.219,18333,SG,AS10011,monitoring_node,2025-10-14T17:48:20.639075,2025-10-14T18:04:34.484634
N0126,203.0.113.215,8333,DE,AS10003,low_degree_peer,2025-10-14T17:47:26.639075,2025-10-14T18:08:58.484634
N0127,198.51.100.237,8333,US,AS10002,low_degree_peer,2025-10-14T17:46:44.639075,2025-10-14T18:09:09.484634
N0128,198.51.100.116,8333,US,AS10000,standard_peer,2025-10-14T17:45:42.639075,2025-10-14T18:05:24.484634
N0129,198.51.100.205,8333,JP,AS10014,monitoring_node,2025-10-14T17:48:29.639075,2025-10-14T18:06:30.484634
N0130,192.0.2.17,8333,US,AS10000,standard_peer,2025-10-14T17:47:24.639075,2025-10-14T18:08:45.484634
N0131,192.0.2.222,8333,CA,AS10030,low_degree_peer,2025-10-14T17:47:34.639075,2025-10-14T18:04:22.484634
N0132,192.0.2.40,8433,JP,AS10012,low_degree_peer,2025-10-14T17:45:45.639075,2025-10-14T18:04:17.484634
N0133,192.0.2.186,8333,DE,AS10003,low_degree_peer,2025-10-14T17:47:26.639075,2025-10-14T18:07:44.484634
N0134,203.0.113.146,8333,JP,AS10014,low_degree_peer,2025-10-14T17:47:58.639075,2025-10-14T18:08:12.484634
N0135,203.0.113.213,8333,US,AS10001,low_degree_peer,2025-10-14T17:44:08.639075,2025-10-14T18:05:04.484634
N0136,198.51.100.11,8333,AU,AS10033,monitoring_node,2025-10-14T17:48:08.639075,2025-10-14T18:08:35.484634
N0137,203.0.113.88,8333,SG,AS10011,low_degree_peer,2025-10-14T17:48:15.639075,2025-10-14T18:04:40.484634
N0138,192.0.2.191,8333,IN,AS10022,low_degree_peer,2025-10-14T17:44:52.639075,2025-10-14T18:05:04.484634
N0139,192.0.2.208,8333,US,AS10001,standard_peer,2025-10-14T17:47:53.639075,2025-10-14T18:04:50.484634
N0140,203.0.113.139,8333,SG,AS10009,low_degree_peer,2025-10-14T17:47:57.639075,2025-10-14T18:05:13.484634
N0141,198.51.100.37,8333,SG,AS10011,low_degree_peer,2025-10-14T17:43:31.639075,2025-10-14T18:08:49.484634
N0142,203.0.113.188,8333,CA,AS10031,low_degree_peer,2025-10-14T17:43:59.639075,2025-10-14T18:06:39.484634
N0143,198.51.100.222,8333,JP,AS10014,low_degree_peer,2025-10-14T17:44:50.639075,2025-10-14T18:04:59.484634
N0144,203.0.113.195,8333,SG,AS10009,low_degree_peer,2025-10-14T17:43:48.639075,2025-10-14T18:05:59.484634
N0145,192.0.2.150,8333,DE,AS10003,low_degree_peer,2025-10-14T17:44:59.639075,2025-10-14T18:07:02.484634
N0146,198.51.100.191,8333,DE,AS10004,low_degree_peer,2025-10-14T17:44:58.639075,2025-10-14T18:04:57.484634
N0147,192.0.2.125,8333,SG,AS10010,low_degree_peer,2025-10-14T17:46:20.639075,2025-10-14T18:07:20.484634
N0148,203.0.113.9,8333,NL,AS10008,low_degree_peer,2025-10-14T17:44:28.639075,2025-10-14T18:04:43.484634
N0149,203.0.113.75,8334,US,AS10000,low_degree_peer,2025-10-14T17:44:49.639075,2025-10-14T18:04:58.484634
