observation_id,timestamp,observer_id,src_ip,src_port,dst_ip,dst_port,txid,message_type,peer_id,connection_id,propagation_delay_ms,direction,sequence_number
OBS0000011,2025-10-14T17:48:34.412951,N0017,203.0.113.168,8333,203.0.113.8,18333,1294f86445abe6126735de0f07fce64d9236d81da5dc30ec66b7bcd7fd674e69,inv,N0010,,51.247,inbound,3
OBS0000012,2025-10-14T17:48:34.416927,N0087,203.0.113.112,8333,198.51.100.122,8333,1294f86445abe6126735de0f07fce64d9236d81da5dc30ec66b7bcd7fd674e69,inv,N0014,,55.223,inbound,4
OBS0000013,2025-10-14T17:48:34.438853,N0107,203.0.113.235,8333,198.51.100.184,8333,1294f86445abe6126735de0f07fce64d9236d81da5dc30ec66b7bcd7fd674e69,inv,N0056,,77.149,inbound,5
OBS0000014,2025-10-14T17:48:34.450266,N0136,192.0.2.194,8333,198.51.100.11,8333,1294f86445abe6126735de0f07fce64d9236d81da5dc30ec66b7bcd7fd674e69,inv,N0012,,88.562,inbound,6
OBS0000015,2025-10-14T17:48:34.457063,N0088,198.51.100.223,8333,192.0.2.216,8000,1294f86445abe6126735de0f07fce64d9236d81da5dc30ec66b7bcd7fd674e69,inv,N0018,,95.359,inbound,7
OBS0000016,2025-10-14T17:48:37.505582,N0003,203.0.113.190,8333,192.0.2.65,8333,1be801e356c2e4e2608aac78d3f82509e9a1ac174ef9c06ccfd3d79456b84493,inv,N0029,,82.473,inbound,1
OBS0000017,2025-10-14T17:48:37.522615,N0094,203.0.113.28,8333,203.0.113.176,8333,1be801e356c2e4e2608aac78d3f82509e9a1ac174ef9c06ccfd3d79456b84493,inv,N0000,,99.506,inbound,2
OBS0000018,2025-10-14T17:48:37.526734,N0129,192.0.2.181,8333,198.51.100.205,8333,1be801e356c2e4e2608aac78d3f82509e9a1ac174ef9c06ccfd3d79456b84493,inv,N0001,,103.625,inbound,3
OBS0000019,2025-10-14T17:48:37.548587,N0017,203.0.113.168,8333,203.0.113.8,18333,1be801e356c2e4e2608aac78d3f82509e9a1ac174ef9c06ccfd3d79456b84493,inv,N0010,,125.478,inbound,4
OBS0000020,2025-10-14T17:48:37.568593,N0087,192.0.2.89,8333,198.51.100.122,8333,1be801e356c2e4e2608aac78d3f82509e9a1ac174ef9c06ccfd3d79456b84493,inv,N0007,,145.484,inbound,5
OBS0000021,2025-10-14T17:48:37.569656,N0088,198.51.100.223,8333,192.0.2.216,8000,1be801e356c2e4e2608aac78d3f82509e9a1ac174ef9c06ccfd3d79456b84493,inv,N0018,,146.547,inbound,6
OBS0000022,2025-10-14T17:48:37.580579,N0107,198.51.100.142,8333,198.51.100.184,8333,1be801e356c2e4e2608aac78d3f82509e9a1ac174ef9c06ccfd3d79456b84493,inv,N0006,,157.47,inbound,7
OBS0000023,2025-10-14T17:48:37.590694,N0125,203.0.113.154,8333,203.0.113.219,18333,1be801e356c2e4e2608aac78d3f82509e9a1ac174ef9c06ccfd3d79456b84493,inv,N0097,,167.585,inbound,8
OBS0000024,2025-10-14T17:48:39.508167,N0129,203.0.113.168,8333,198.51.100.205,8333,4b8b791d8311a3827f69f5ca962e6c7a24bcb94c54c0dd705ea71c9680b34639,inv,N0010,,38.008,inbound,1
OBS0000025,2025-10-14T17:48:39.526852,N0109,203.0.113.168,8333,203.0.113.127,8333,4b8b791d8311a3827f69f5ca962e6c7a24bcb94c54c0dd705ea71c9680b34639,inv,N0010,,56.693,inbound,2
OBS0000026,2025-10-14T17:48:39.563375,N0088,198.51.100.177,8333,192.0.2.216,8000,4b8b791d8311a3827f69f5ca962e6c7a24bcb94c54c0dd705ea71c9680b34639,inv,N0026,,93.216,inbound,3
OBS0000027,2025-10-14T17:48:39.564872,N0125,192.0.2.252,8333,203.0.113.219,18333,4b8b791d8311a3827f69f5ca962e6c7a24bcb94c54c0dd705ea71c9680b34639,inv,N0004,,94.713,inbound,4
OBS0000028,2025-10-14T17:48:39.575719,N0107,198.51.100.142,8333,198.51.100.184,8333,4b8b791d8311a3827f69f5ca962e6c7a24bcb94c54c0dd705ea71c9680b34639,inv,N0006,,105.56,inbound,5
OBS0000029,2025-10-14T17:48:39.586535,N0087,192.0.2.89,8333,198.51.100.122,8333,4b8b791d8311a3827f69f5ca962e6c7a24bcb94c54c0dd705ea71c9680b34639,inv,N0007,,116.376,inbound,6
OBS0000030,2025-10-14T17:48:39.593602,N0136,192.0.2.194,8333,198.51.100.11,8333,4b8b791d8311a3827f69f5ca962e6c7a24bcb94c54c0dd705ea71c9680b34639,inv,N0012,,123.443,inbound,7
OBS0000031,2025-10-14T17:48:39.598923,N0094,192.0.2.242,8333,203.0.113.176,8333,4b8b791d8311a3827f69f5ca962e6c7a24bcb94c54c0dd705ea71c9680b34639,inv,N0113,,128.764,inbound,8
OBS0000032,2025-10-14T17:48:41.654875,N0107,203.0.113.235,8333,198.51.100.184,8333,08bc68467bdb290fa147f7fe3e53d9e522a5f1ff70dd0afcf60c7c0a7896754f,inv,N0056,,34.065,inbound,1
OBS0000033,2025-10-14T17:48:41.670357,N0017,192.0.2.138,8333,203.0.113.8,18333,08bc68467bdb290fa147f7fe3e53d9e522a5f1ff70dd0afcf60c7c0a7896754f,inv,N0005,,49.547,inbound,2
OBS0000034,2025-10-14T17:48:41.675410,N0136,192.0.2.194,8333,198.51.100.11,8333,08bc68467bdb290fa147f7fe3e53d9e522a5f1ff70dd0afcf60c7c0a7896754f,inv,N0012,,54.6,inbound,3
OBS0000035,2025-10-14T17:48:41.712022,N0088,203.0.113.25,8333,192.0.2.216,8000,08bc68467bdb290fa147f7fe3e53d9e522a5f1ff70dd0afcf60c7c0a7896754f,inv,N0008,,91.212,inbound,4
OBS0000036,2025-10-14T17:48:41.729171,N0087,203.0.113.112,8333,198.51.100.122,8333,08bc68467bdb290fa147f7fe3e53d9e522a5f1ff70dd0afcf60c7c0a7896754f,inv,N0014,,108.361,inbound,5
OBS0000037,2025-10-14T17:48:43.237758,N0087,203.0.113.112,8333,198.51.100.122,8333,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0014,,79.77,inbound,1
OBS0000038,2025-10-14T17:48:43.237764,N0129,192.0.2.181,8333,198.51.100.205,8333,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0001,,79.776,inbound,2
OBS0000039,2025-10-14T17:48:43.240142,N0017,192.0.2.138,8333,203.0.113.8,18333,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0005,,82.154,inbound,3
OBS0000040,2025-10-14T17:48:43.240532,N0107,198.51.100.142,8333,198.51.100.184,8333,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0006,,82.544,inbound,4
OBS0000041,2025-10-14T17:48:43.255312,N0003,203.0.113.112,8333,192.0.2.65,8333,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0014,,97.324,inbound,5
OBS0000042,2025-10-14T17:48:43.262739,N0094,203.0.113.28,8333,203.0.113.176,8333,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0000,,104.751,inbound,6
OBS0000043,2025-10-14T17:48:43.268559,N0125,203.0.113.154,8333,203.0.113.219,18333,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0097,,110.571,inbound,7
OBS0000044,2025-10-14T17:48:43.293590,N0088,198.51.100.223,8333,192.0.2.216,8000,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0018,,135.602,inbound,8
OBS0000045,2025-10-14T17:48:43.305139,N0136,192.0.2.194,8333,198.51.100.11,8333,df83cc39f34c3b9fa5974d386aaa88f67a0fc9514022b6d1d2b263429b23ed22,inv,N0012,,147.151,inbound,9
OBS0000046,2025-10-14T17:48:45.083700,N0136,192.0.2.194,8333,198.51.100.11,8333,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0012,,84.665,inbound,1
OBS0000047,2025-10-14T17:48:45.089569,N0003,192.0.2.252,8333,192.0.2.65,8333,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0004,,90.534,inbound,2
OBS0000048,2025-10-14T17:48:45.092998,N0088,203.0.113.25,8333,192.0.2.216,8000,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0008,,93.963,inbound,3
OBS0000049,2025-10-14T17:48:45.093459,N0094,203.0.113.28,8333,203.0.113.176,8333,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0000,,94.424,inbound,4
OBS0000050,2025-10-14T17:48:45.094800,N0017,192.0.2.138,8333,203.0.113.8,18333,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0005,,95.765,inbound,5
OBS0000051,2025-10-14T17:48:45.105583,N0125,192.0.2.252,8333,203.0.113.219,18333,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0004,,106.548,inbound,6
OBS0000052,2025-10-14T17:48:45.111092,N0087,192.0.2.89,8333,198.51.100.122,8333,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0007,,112.057,inbound,7
OBS0000053,2025-10-14T17:48:45.133216,N0129,203.0.113.168,8333,198.51.100.205,8333,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0010,,134.181,inbound,8
OBS0000054,2025-10-14T17:48:45.150389,N0109,203.0.113.7,8333,203.0.113.127,8333,1efd1e591de4efc9006beac9a266293d7f45c367b1318d4d3ea89a3d0a90b7a9,inv,N0070,,151.354,inbound,9
OBS0000055,2025-10-14T17:48:48.288376,N0003,192.0.2.252,8333,192.0.2.65,8333,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0004,,146.853,inbound,1
OBS0000056,2025-10-14T17:48:48.298254,N0125,192.0.2.252,8333,203.0.113.219,18333,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0004,,156.731,inbound,2
OBS0000057,2025-10-14T17:48:48.316564,N0107,198.51.100.154,8334,198.51.100.184,8333,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0085,,175.041,inbound,3
OBS0000058,2025-10-14T17:48:48.319454,N0136,192.0.2.194,8333,198.51.100.11,8333,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0012,,177.931,inbound,4
OBS0000059,2025-10-14T17:48:48.329213,N0094,192.0.2.181,8333,203.0.113.176,8333,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0001,,187.69,inbound,5
OBS0000060,2025-10-14T17:48:48.338577,N0017,203.0.113.168,8333,203.0.113.8,18333,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0010,,197.054,inbound,6
OBS0000061,2025-10-14T17:48:48.341730,N0088,203.0.113.25,8333,192.0.2.216,8000,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0008,,200.207,inbound,7
OBS0000062,2025-10-14T17:48:48.367742,N0109,203.0.113.52,8333,203.0.113.127,8333,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0043,,226.219,inbound,8
OBS0000063,2025-10-14T17:48:48.394313,N0129,203.0.113.168,8333,198.51.100.205,8333,0b5ca9d71ec057cbe884debc35dcb8603d84a68bcc0b1ddfc5a5da51244ef73b,inv,N0010,,252.79,inbound,9
OBS0000064,2025-10-14T17:48:49.344753,N0003,203.0.113.190,8333,192.0.2.65,8333,a882543b48b3795f1c28409ff404cea9984f75d74bbaed9f132e8fd97ab46b1b,inv,N0029,,43.742,inbound,1
OBS0000065,2025-10-14T17:48:49.376308,N0125,203.0.113.154,8333,203.0.113.219,18333,a882543b48b3795f1c28409ff404cea9984f75d74bbaed9f132e8fd97ab46b1b,inv,N0097,,75.297,inbound,2
OBS0000066,2025-10-14T17:48:49.377745,N0017,192.0.2.138,8333,203.0.113.8,18333,a882543b48b3795f1c28409ff404cea9984f75d74bbaed9f132e8fd97ab46b1b,inv,N0005,,76.734,inbound,3
OBS0000067,2025-10-14T17:48:49.379031,N0109,203.0.113.7,8333,203.0.113.127,8333,a882543b48b3795f1c28409ff404cea9984f75d74bbaed9f132e8fd97ab46b1b,inv,N0070,,78.02,inbound,4
OBS0000068,2025-10-14T17:48:49.385964,N0087,192.0.2.89,8333,198.51.100.122,8333,a882543b48b3795f1c28409ff404cea9984f75d74bbaed9f132e8fd97ab46b1b,inv,N0007,,84.953,inbound,5
OBS0000069,2025-10-14T17:48:49.402570,N0107,203.0.113.235,8333,198.51.100.184,8333,a882543b48b3795f1c28409ff404cea9984f75d74bbaed9f132e8fd97ab46b1b,inv,N0056,,101.559,inbound,6
OBS0000070,2025-10-14T17:48:50.962016,N0094,203.0.113.28,8333,203.0.113.176,8333,11b8f67408c03f21edad5796ae60fcb9b1ca575994ec21ad3631fc65d1cc1c92,inv,N0000,,44.999,inbound,1
OBS0000071,2025-10-14T17:48:50.975526,N0017,192.0.2.138,8333,203.0.113.8,18333,11b8f67408c03f21edad5796ae60fcb9b1ca575994ec21ad3631fc65d1cc1c92,inv,N0005,,58.509,inbound,2
OBS0000072,2025-10-14T17:48:51.001598,N0109,203.0.113.168,8333,203.0.113.127,8333,11b8f67408c03f21edad5796ae60fcb9b1ca575994ec21ad3631fc65d1cc1c92,inv,N0010,,84.581,inbound,3
OBS0000073,2025-10-14T17:48:51.017457,N0107,198.51.100.142,8333,198.51.100.184,8333,11b8f67408c03f21edad5796ae60fcb9b1ca575994ec21ad3631fc65d1cc1c92,inv,N0006,,100.44,inbound,4
OBS0000074,2025-10-14T17:48:51.025256,N0088,198.51.100.223,8333,192.0.2.216,8000,11b8f67408c03f21edad5796ae60fcb9b1ca575994ec21ad3631fc65d1cc1c92,inv,N0018,,108.239,inbound,5
OBS0000075,2025-10-14T17:48:51.032192,N0087,203.0.113.112,8333,198.51.100.122,8333,11b8f67408c03f21edad5796ae60fcb9b1ca575994ec21ad3631fc65d1cc1c92,inv,N0014,,115.175,inbound,6
OBS0000076,2025-10-14T17:48:51.042472,N0129,192.0.2.181,8333,198.51.100.205,8333,11b8f67408c03f21edad5796ae60fcb9b1ca575994ec21ad3631fc65d1cc1c92,inv,N0001,,125.455,inbound,7
OBS0000077,2025-10-14T17:48:51.047923,N0136,192.0.2.9,8333,198.51.100.11,8333,11b8f67408c03f21edad5796ae60fcb9b1ca575994ec21ad3631fc65d1cc1c92,inv,N0034,,130.906,inbound,8
OBS0000078,2025-10-14T17:48:53.438118,N0003,203.0.113.190,8333,192.0.2.65,8333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0029,,33.347,inbound,1
OBS0000079,2025-10-14T17:48:53.459994,N0107,198.51.100.142,8333,198.51.100.184,8333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0006,,55.223,inbound,2
OBS0000080,2025-10-14T17:48:53.465733,N0017,203.0.113.168,8333,203.0.113.8,18333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0010,,60.962,inbound,3
OBS0000081,2025-10-14T17:48:53.475680,N0136,192.0.2.194,8333,198.51.100.11,8333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0012,,70.909,inbound,4
OBS0000082,2025-10-14T17:48:53.488232,N0087,192.0.2.89,8333,198.51.100.122,8333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0007,,83.461,inbound,5
OBS0000083,2025-10-14T17:48:53.489514,N0129,192.0.2.181,8333,198.51.100.205,8333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0001,,84.743,inbound,6
OBS0000084,2025-10-14T17:48:53.496182,N0125,192.0.2.252,8333,203.0.113.219,18333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0004,,91.411,inbound,7
OBS0000085,2025-10-14T17:48:53.499826,N0094,198.51.100.9,8333,203.0.113.176,8333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0067,,95.055,inbound,8
OBS0000086,2025-10-14T17:48:53.508009,N0109,203.0.113.168,8333,203.0.113.127,8333,f17c0fe71bced7319d3f38a28985d99520c7a2d621cb253b9d631f0f31426500,inv,N0010,,103.238,inbound,9
OBS0000087,2025-10-14T17:48:55.100529,N0003,203.0.113.191,8333,192.0.2.65,8333,69cf14da1c9a41ec3fafacf135007ec31c2827902b6312de493bc420de58b8f3,inv,N0027,,63.256,inbound,1
OBS0000088,2025-10-14T17:48:55.125172,N0125,192.0.2.252,8333,203.0.113.219,18333,69cf14da1c9a41ec3fafacf135007ec31c2827902b6312de493bc420de58b8f3,inv,N0004,,87.899,inbound,2
OBS0000089,2025-10-14T17:48:55.130430,N0088,203.0.113.25,8333,192.0.2.216,8000,69cf14da1c9a41ec3fafacf135007ec31c2827902b6312de493bc420de58b8f3,inv,N0008,,93.157,inbound,3
OBS0000090,2025-10-14T17:48:55.149457,N0109,203.0.113.7,8333,203.0.113.127,8333,69cf14da1c9a41ec3fafacf135007ec31c2827902b6312de493bc420de58b8f3,inv,N0070,,112.184,inbound,4
OBS0000091,2025-10-14T17:48:55.150680,N0087,203.0.113.128,8333,198.51.100.122,8333,69cf14da1c9a41ec3fafacf135007ec31c2827902b6312de493bc420de58b8f3,inv,N0048,,113.407,inbound,5
OBS0000092,2025-10-14T17:48:55.153643,N0136,192.0.2.194,8333,198.51.100.11,8333,69cf14da1c9a41ec3fafacf135007ec31c2827902b6312de493bc420de58b8f3,inv,N0012,,116.37,inbound,6
OBS0000093,2025-10-14T17:48:55.172828,N0094,203.0.113.28,8333,203.0.113.176,8333,69cf14da1c9a41ec3fafacf135007ec31c2827902b6312de493bc420de58b8f3,inv,N0000,,135.555,inbound,7
OBS0000094,2025-10-14T17:48:55.197099,N0129,192.0.2.25,8333,198.51.100.205,8333,69cf14da1c9a41ec3fafacf135007ec31c2827902b6312de493bc420de58b8f3,inv,N0059,,159.826,inbound,8
OBS0000095,2025-10-14T17:48:56.314540,N0003,203.0.113.190,8333,192.0.2.65,8333,6fc52d9d43a7240f4b6cebb6e2a7f42046e203b4c05a869bbe2d158bfe3794d8,inv,N0029,,50.298,inbound,1
OBS0000096,2025-10-14T17:48:56.331389,N0129,192.0.2.181,8333,198.51.100.205,8333,6fc52d9d43a7240f4b6cebb6e2a7f42046e203b4c05a869bbe2d158bfe3794d8,inv,N0001,,67.147,inbound,2
OBS0000097,2025-10-14T17:48:56.341999,N0094,192.0.2.181,8333,203.0.113.176,8333,6fc52d9d43a7240f4b6cebb6e2a7f42046e203b4c05a869bbe2d158bfe3794d8,inv,N0001,,77.757,inbound,3
OBS0000098,2025-10-14T17:48:56.364238,N0017,203.0.113.112,8333,203.0.113.8,18333,6fc52d9d43a7240f4b6cebb6e2a7f42046e203b4c05a869bbe2d158bfe3794d8,inv,N0014,,99.996,inbound,4
OBS0000099,2025-10-14T17:48:56.365959,N0088,198.51.100.196,8333,192.0.2.216,8000,6fc52d9d43a7240f4b6cebb6e2a7f42046e203b4c05a869bbe2d158bfe3794d8,inv,N0100,,101.717,inbound,5
OBS0000100,2025-10-14T17:48:56.369201,N0087,192.0.2.89,8333,198.51.100.122,8333,6fc52d9d43a7240f4b6cebb6e2a7f42046e203b4c05a869bbe2d158bfe3794d8,inv,N0007,,104.959,inbound,6
OBS0000101,2025-10-14T17:48:57.806032,N0003,203.0.113.24,8333,192.0.2.65,8333,1bd47e0c0c2f1dd5a2ddc92fad719d1e99edef7cac457b24dd4327c9f3b318a6,inv,N0081,,107.989,inbound,1
OBS0000102,2025-10-14T17:48:57.807252,N0094,192.0.2.181,8333,203.0.113.176,8333,1bd47e0c0c2f1dd5a2ddc92fad719d1e99edef7cac457b24dd4327c9f3b318a6,inv,N0001,,109.209,inbound,2
OBS0000103,2025-10-14T17:48:57.807846,N0109,203.0.113.7,8333,203.0.113.127,8333,1bd47e0c0c2f1dd5a2ddc92fad719d1e99edef7cac457b24dd4327c9f3b318a6,inv,N0070,,109.803,inbound,3
OBS0000104,2025-10-14T17:48:57.818410,N0129,192.0.2.181,8333,198.51.100.205,8333,1bd47e0c0c2f1dd5a2ddc92fad719d1e99edef7cac457b24dd4327c9f3b318a6,inv,N0001,,120.367,inbound,4
OBS0000105,2025-10-14T17:48:57.819008,N0087,192.0.2.89,8333,198.51.100.122,8333,1bd47e0c0c2f1dd5a2ddc92fad719d1e99edef7cac457b24dd4327c9f3b318a6,inv,N0007,,120.965,inbound,5
OBS0000106,2025-10-14T17:48:57.821076,N0125,192.0.2.252,8333,203.0.113.219,18333,1bd47e0c0c2f1dd5a2ddc92fad719d1e99edef7cac457b24dd4327c9f3b318a6,inv,N0004,,123.033,inbound,6
OBS0000107,2025-10-14T17:48:57.854633,N0088,198.51.100.223,8333,192.0.2.216,8000,1bd47e0c0c2f1dd5a2ddc92fad719d1e99edef7cac457b24dd4327c9f3b318a6,inv,N0018,,156.59,inbound,7
OBS0000108,2025-10-14T17:48:57.858201,N0107,198.51.100.142,8333,198.51.100.184,8333,1bd47e0c0c2f1dd5a2ddc92fad719d1e99edef7cac457b24dd4327c9f3b318a6,inv,N0006,,160.158,inbound,8
OBS0000109,2025-10-14T17:48:59.180366,N0129,192.0.2.181,8333,198.51.100.205,8333,43ee66a9249f856ec12e916ed99bb215eabd9521ffb5e4fbfed3d6f90c45d3f4,inv,N0001,,48.617,inbound,1
OBS0000110,2025-10-14T17:48:59.192062,N0125,203.0.113.154,8333,203.0.113.219,18333,43ee66a9249f856ec12e916ed99bb215eabd9521ffb5e4fbfed3d6f90c45d3f4,inv,N0097,,60.313,inbound,2
OBS0000111,2025-10-14T17:48:59.203943,N0136,192.0.2.194,8333,198.51.100.11,8333,43ee66a9249f856ec12e916ed99bb215eabd9521ffb5e4fbfed3d6f90c45d3f4,inv,N0012,,72.194,inbound,3
OBS0000112,2025-10-14T17:48:59.244333,N0017,192.0.2.138,8333,203.0.113.8,18333,43ee66a9249f856ec12e916ed99bb215eabd9521ffb5e4fbfed3d6f90c45d3f4,inv,N0005,,112.584,inbound,4
OBS0000113,2025-10-14T17:48:59.244587,N0107,203.0.113.235,8333,198.51.100.184,8333,43ee66a9249f856ec12e916ed99bb215eabd9521ffb5e4fbfed3d6f90c45d3f4,inv,N0056,,112.838,inbound,5
OBS0000114,2025-10-14T17:48:59.257623,N0109,203.0.113.7,8333,203.0.113.127,8333,43ee66a9249f856ec12e916ed99bb215eabd9521ffb5e4fbfed3d6f90c45d3f4,inv,N0070,,125.874,inbound,6
OBS0000115,2025-10-14T17:48:59.288547,N0087,203.0.113.128,8333,198.51.100.122,8333,43ee66a9249f856ec12e916ed99bb215eabd9521ffb5e4fbfed3d6f90c45d3f4,inv,N0048,,156.798,inbound,7
OBS0000116,2025-10-14T17:49:00.766496,N0003,192.0.2.151,8333,192.0.2.65,8333,60072224b5625ddf8cc4b18ad95a70eb570b98b26f1c836768c3b6487aa21d6f,inv,N0044,,97.683,inbound,1
OBS0000117,2025-10-14T17:49:00.777712,N0094,192.0.2.181,8333,203.0.113.176,8333,60072224b5625ddf8cc4b18ad95a70eb570b98b26f1c836768c3b6487aa21d6f,inv,N0001,,108.899,inbound,2
OBS0000118,2025-10-14T17:49:00.785815,N0087,203.0.113.112,8333,198.51.100.122,8333,60072224b5625ddf8cc4b18ad95a70eb570b98b26f1c836768c3b6487aa21d6f,inv,N0014,,117.002,inbound,3
OBS0000119,2025-10-14T17:49:00.792161,N0136,192.0.2.194,8333,198.51.100.11,8333,60072224b5625ddf8cc4b18ad95a70eb570b98b26f1c836768c3b6487aa21d6f,inv,N0012,,123.348,inbound,4
OBS0000120,2025-10-14T17:49:00.806074,N0125,198.51.100.138,18333,203.0.113.219,18333,60072224b5625ddf8cc4b18ad95a70eb570b98b26f1c836768c3b6487aa21d6f,inv,N0037,,137.261,inbound,5
OBS0000121,2025-10-14T17:49:00.824496,N0088,203.0.113.25,8333,192.0.2.216,8000,60072224b5625ddf8cc4b18ad95a70eb570b98b26f1c836768c3b6487aa21d6f,inv,N0008,,155.683,inbound,6
OBS0000122,2025-10-14T17:49:02.778322,N0017,192.0.2.138,8333,203.0.113.8,18333,4da7a2bb4601924c7ef20ca5313a553d884d47df64d57f5a96847207dbf9120f,inv,N0005,,63.097,inbound,1
OBS0000123,2025-10-14T17:49:02.786343,N0094,192.0.2.181,8333,203.0.113.176,8333,4da7a2bb4601924c7ef20ca5313a553d884d47df64d57f5a96847207dbf9120f,inv,N0001,,71.118,inbound,2
OBS0000124,2025-10-14T17:49:02.791290,N0129,192.0.2.181,8333,198.51.100.205,8333,4da7a2bb4601924c7ef20ca5313a553d884d47df64d57f5a96847207dbf9120f,inv,N0001,,76.065,inbound,3
