connection_id,timestamp_start,timestamp_end,src_node_id,dst_node_id,src_ip,dst_ip,src_port,dst_port,direction
CONN000058,2025-10-14T17:47:09.639075,2025-10-14T18:07:15.484634,N0086,N0003,192.0.2.87,192.0.2.65,25459,8333,outbound
CONN000059,2025-10-14T17:45:12.639075,2025-10-14T18:07:38.484634,N0096,N0003,192.0.2.29,192.0.2.65,51779,8333,outbound
CONN000060,2025-10-14T17:48:04.639075,2025-10-14T18:07:00.484634,N0003,N0112,192.0.2.65,203.0.113.23,5343,8333,outbound
CONN000061,2025-10-14T17:43:45.639075,2025-10-14T18:07:26.484634,N0003,N0119,192.0.2.65,198.51.100.106,19645,8333,outbound
CONN000062,2025-10-14T17:47:14.639075,2025-10-14T18:06:59.484634,N0003,N0138,192.0.2.65,192.0.2.191,6365,8333,outbound
CONN000063,2025-10-14T17:47:18.639075,2025-10-14T18:07:08.484634,N0005,N0004,192.0.2.138,192.0.2.252,21355,8333,outbound
CONN000064,2025-10-14T17:45:10.639075,2025-10-14T18:05:15.484634,N0009,N0004,198.51.100.59,192.0.2.252,40020,8333,outbound
CONN000065,2025-10-14T17:47:47.639075,2025-10-14T18:06:47.484634,N0010,N0004,203.0.113.168,192.0.2.252,37653,8333,outbound
CONN000066,2025-10-14T17:45:42.639075,2025-10-14T18:05:14.484634,N0004,N0011,192.0.2.252,198.51.100.100,44940,8333,outbound
CONN000067,2025-10-14T17:44:01.639075,2025-10-14T18:04:56.484634,N0012,N0004,192.0.2.194,192.0.2.252,43361,8333,outbound
CONN000068,2025-10-14T17:44:10.639075,2025-10-14T18:07:14.484634,N0016,N0004,192.0.2.248,192.0.2.252,2218,8333,outbound
CONN000069,2025-10-14T17:46:58.639075,2025-10-14T18:05:58.484634,N0004,N0020,192.0.2.252,198.51.100.207,23419,8333,outbound
CONN000070,2025-10-14T17:44:22.639075,2025-10-14T18:05:47.484634,N0021,N0004,203.0.113.92,192.0.2.252,15870,8333,outbound
CONN000071,2025-10-14T17:47:11.639075,2025-10-14T18:04:48.484634,N0025,N0004,198.51.100.74,192.0.2.252,20409,8333,outbound
CONN000072,2025-10-14T17:47:39.639075,2025-10-14T18:08:28.484634,N0029,N0004,203.0.113.190,192.0.2.252,51544,8333,outbound
CONN000073,2025-10-14T17:44:01.639075,2025-10-14T18:04:28.484634,N0030,N0004,198.51.100.187,192.0.2.252,44404,8333,outbound
CONN000074,2025-10-14T17:47:23.639075,2025-10-14T18:07:21.484634,N0004,N0034,192.0.2.252,192.0.2.9,11133,8333,outbound
CONN000075,2025-10-14T17:47:06.639075,2025-10-14T18:07:53.484634,N0004,N0037,192.0.2.252,198.51.100.138,3887,18333,outbound
CONN000076,2025-10-14T17:46:29.639075,2025-10-14T18:07:56.484634,N0004,N0038,192.0.2.252,192.0.2.172,41039,18333,outbound
CONN000077,2025-10-14T17:44:41.639075,2025-10-14T18:06:08.484634,N0004,N0052,192.0.2.252,192.0.2.6,36020,8333,outbound
CONN000078,2025-10-14T17:44:30.639075,2025-10-14T18:05:48.484634,N0004,N0055,192.0.2.252,198.51.100.169,25130,8333,outbound
CONN000079,2025-10-14T17:43:38.639075,2025-10-14T18:07:54.484634,N0056,N0004,203.0.113.235,192.0.2.252,31280,8333,outbound
CONN000080,2025-10-14T17:45:15.639075,2025-10-14T18:08:26.484634,N0058,N0004,198.51.100.165,192.0.2.252,35591,8333,outbound
CONN000081,2025-10-14T17:47:08.639075,2025-10-14T18:05:51.484634,N0004,N0062,192.0.2.252,203.0.113.119,53535,8333,outbound
CONN000082,2025-10-14T17:46:22.639075,2025-10-14T18:04:35.484634,N0067,N0004,198.51.100.9,192.0.2.252,43044,8333,outbound
CONN000083,2025-10-14T17:45:20.639075,2025-10-14T18:08:52.484634,N0004,N0069,192.0.2.252,192.0.2.199,62253,8333,outbound
CONN000084,2025-10-14T17:44:06.639075,2025-10-14T18:05:12.484634,N0004,N0072,192.0.2.252,192.0.2.18,19705,8333,outbound
CONN000085,2025-10-14T17:47:08.639075,2025-10-14T18:06:28.484634,N0004,N0074,192.0.2.252,192.0.2.11,30470,8333,outbound
CONN000086,2025-10-14T17:47:15.639075,2025-10-14T18:07:52.484634,N0078,N0004,192.0.2.201,192.0.2.252,7034,8333,outbound
CONN000087,2025-10-14T17:46:37.639075,2025-10-14T18:07:59.484634,N0084,N0004,192.0.2.237,192.0.2.252,58999,8333,outbound
CONN000088,2025-10-14T17:48:17.639075,2025-10-14T18:07:41.484634,N0004,N0085,192.0.2.252,198.51.100.154,4514,8334,outbound
CONN000089,2025-10-14T17:45:19.639075,2025-10-14T18:06:09.484634,N0004,N0093,192.0.2.252,203.0.113.178,26331,8333,outbound
CONN000090,2025-10-14T17:45:19.639075,2025-10-14T18:06:03.484634,N0111,N0004,203.0.113.129,192.0.2.252,2871,8333,outbound
CONN000091,2025-10-14T17:47:40.639075,2025-10-14T18:07:00.484634,N0004,N0113,192.0.2.252,192.0.2.242,52887,8333,outbound
CONN000092,2025-10-14T17:48:11.639075,2025-10-14T18:06:35.484634,N0004,N0122,192.0.2.252,203.0.113.26,61146,8333,outbound
CONN000093,2025-10-14T17:47:19.639075,2025-10-14T18:08:09.484634,N0125,N0004,203.0.113.219,192.0.2.252,30423,8333,outbound
CONN000094,2025-10-14T17:47:50.639075,2025-10-14T18:04:18.484634,N0128,N0004,198.51.100.116,192.0.2.252,17796,8333,outbound
CONN000095,2025-10-14T17:47:14.639075,2025-10-14T18:08:49.484634,N0004,N0130,192.0.2.252,192.0.2.17,62642,8333,outbound
CONN000096,2025-10-14T17:44:00.639075,2025-10-14T18:07:45.484634,N0133,N0004,192.0.2.186,192.0.2.252,8310,8333,outbound
CONN000097,2025-10-14T17:46:29.639075,2025-10-14T18:06:43.484634,N0135,N0004,203.0.113.213,192.0.2.252,9009,8333,outbound
CONN000098,2025-10-14T17:44:56.639075,2025-10-14T18:08:03.484634,N0005,N0006,192.0.2.138,198.51.100.142,5140,8333,outbound
CONN000099,2025-10-14T17:44:15.639075,2025-10-14T18:08:43.484634,N0005,N0007,192.0.2.138,192.0.2.89,2101,8333,outbound
CONN000100,2025-10-14T17:43:36.639075,2025-10-14T18:06:12.484634,N0008,N0005,203.0.113.25,192.0.2.138,48114,8333,outbound
CONN000101,2025-10-14T17:44:51.639075,2025-10-14T18:04:09.484634,N0005,N0009,192.0.2.138,198.51.100.59,41316,18333,outbound
CONN000102,2025-10-14T17:43:38.639075,2025-10-14T18:07:42.484634,N0005,N0011,192.0.2.138,198.51.100.100,13299,8333,outbound
CONN000103,2025-10-14T17:47:47.639075,2025-10-14T18:08:37.484634,N0015,N0005,192.0.2.106,192.0.2.138,64898,8333,outbound
CONN000104,2025-10-14T17:44:01.639075,2025-10-14T18:08:47.484634,N0005,N0016,192.0.2.138,192.0.2.248,34272,8333,outbound
CONN000105,2025-10-14T17:44:11.639075,2025-10-14T18:08:52.484634,N0017,N0005,203.0.113.8,192.0.2.138,2356,8333,outbound
CONN000106,2025-10-14T17:44:30.639075,2025-10-14T18:04:31.484634,N0005,N0018,192.0.2.138,198.51.100.223,42683,8333,outbound
CONN000107,2025-10-14T17:45:19.639075,2025-10-14T18:06:18.484634,N0005,N0020,192.0.2.138,198.51.100.207,50000,8333,outbound
CONN000108,2025-10-14T17:47:56.639075,2025-10-14T18:07:05.484634,N0005,N0023,192.0.2.138,198.51.100.82,16826,8333,outbound
CONN000109,2025-10-14T17:47:37.639075,2025-10-14T18:09:06.484634,N0024,N0005,203.0.113.124,192.0.2.138,49205,8333,outbound
CONN000110,2025-10-14T17:47:22.639075,2025-10-14T18:04:31.484634,N0031,N0005,192.0.2.14,192.0.2.138,24112,8333,outbound
CONN000111,2025-10-14T17:47:01.639075,2025-10-14T18:08:06.484634,N0033,N0005,203.0.113.77,192.0.2.138,65302,8333,outbound
CONN000112,2025-10-14T17:46:57.639075,2025-10-14T18:05:18.484634,N0038,N0005,192.0.2.172,192.0.2.138,5159,8333,outbound
CONN000113,2025-10-14T17:44:36.639075,2025-10-14T18:04:27.484634,N0044,N0005,192.0.2.151,192.0.2.138,20255,8333,outbound
CONN000114,2025-10-14T17:46:48.639075,2025-10-14T18:04:30.484634,N0005,N0056,192.0.2.138,203.0.113.235,21706,8333,outbound
CONN000115,2025-10-14T17:44:07.639075,2025-10-14T18:07:32.484634,N0071,N0005,198.51.100.67,192.0.2.138,54462,8333,outbound
CONN000116,2025-10-14T17:46:21.639075,2025-10-14T18:04:27.484634,N0072,N0005,192.0.2.18,192.0.2.138,50391,8333,outbound
CONN000117,2025-10-14T17:46:04.639075,2025-10-14T18:07:11.484634,N0079,N0005,203.0.113.62,192.0.2.138,57525,8333,outbound
CONN000118,2025-10-14T17:45:41.639075,2025-10-14T18:06:28.484634,N0080,N0005,192.0.2.102,192.0.2.138,9181,8333,outbound
CONN000119,2025-10-14T17:44:47.639075,2025-10-14T18:07:33.484634,N0083,N0005,198.51.100.145,192.0.2.138,49737,8333,outbound
CONN000120,2025-10-14T17:45:13.639075,2025-10-14T18:07:02.484634,N0005,N0085,192.0.2.138,198.51.100.154,64837,8334,outbound
CONN000121,2025-10-14T17:44:16.639075,2025-10-14T18:07:17.484634,N0005,N0086,192.0.2.138,192.0.2.87,61599,8333,outbound
CONN000122,2025-10-14T17:46:14.639075,2025-10-14T18:04:51.484634,N0091,N0005,203.0.113.230,192.0.2.138,48674,8333,outbound
CONN000123,2025-10-14T17:44:50.639075,2025-10-14T18:05:41.484634,N0005,N0104,192.0.2.138,203.0.113.29,36772,8333,outbound
CONN000124,2025-10-14T17:47:38.639075,2025-10-14T18:04:49.484634,N0005,N0105,192.0.2.138,192.0.2.165,22514,8333,outbound
CONN000125,2025-10-14T17:45:54.639075,2025-10-14T18:07:57.484634,N0144,N0005,203.0.113.195,192.0.2.138,40517,8333,outbound
CONN000126,2025-10-14T17:47:05.639075,2025-10-14T18:07:56.484634,N0145,N0005,192.0.2.150,192.0.2.138,24062,8333,outbound
CONN000127,2025-10-14T17:45:30.639075,2025-10-14T18:07:51.484634,N0006,N0007,198.51.100.142,192.0.2.89,19017,8333,outbound
CONN000128,2025-10-14T17:48:01.639075,2025-10-14T18:04:47.484634,N0008,N0006,203.0.113.25,198.51.100.142,45010,8333,outbound
CONN000129,2025-10-14T17:45:24.639075,2025-10-14T18:08:31.484634,N0011,N0006,198.51.100.100,198.51.100.142,53524,8333,outbound
CONN000130,2025-10-14T17:47:09.639075,2025-10-14T18:04:24.484634,N0012,N0006,192.0.2.194,198.51.100.142,10381,8333,outbound
CONN000131,2025-10-14T17:44:46.639075,2025-10-14T18:04:26.484634,N0013,N0006,192.0.2.93,198.51.100.142,9296,8333,outbound
CONN000132,2025-10-14T17:45:23.639075,2025-10-14T18:07:14.484634,N0006,N0024,198.51.100.142,203.0.113.124,26114,8333,outbound
CONN000133,2025-10-14T17:48:14.639075,2025-10-14T18:05:27.484634,N0026,N0006,198.51.100.177,198.51.100.142,45527,8333,outbound
CONN000134,2025-10-14T17:45:21.639075,2025-10-14T18:07:19.484634,N0006,N0028,198.51.100.142,203.0.113.54,30118,8333,outbound
CONN000135,2025-10-14T17:43:37.639075,2025-10-14T18:05:19.484634,N0039,N0006,192.0.2.16,198.51.100.142,35722,8333,outbound
CONN000136,2025-10-14T17:45:50.639075,2025-10-14T18:06:31.484634,N0006,N0040,198.51.100.142,192.0.2.79,17382,8333,outbound
CONN000137,2025-10-14T17:48:17.639075,2025-10-14T18:05:44.484634,N0043,N0006,203.0.113.52,198.51.100.142,33729,8333,outbound
CONN000138,2025-10-14T17:43:43.639075,2025-10-14T18:05:09.484634,N0045,N0006,203.0.113.18,198.51.100.142,18179,8333,outbound
CONN000139,2025-10-14T17:44:42.639075,2025-10-14T18:05:58.484634,N0046,N0006,198.51.100.202,198.51.100.142,41123,8333,outbound
CONN000140,2025-10-14T17:44:19.639075,2025-10-14T18:05:51.484634,N0006,N0051,198.51.100.142,198.51.100.238,9061,8333,outbound
CONN000141,2025-10-14T17:47:53.639075,2025-10-14T18:08:00.484634,N0006,N0057,198.51.100.142,198.51.100.39,12339,8333,outbound
CONN000142,2025-10-14T17:44:43.639075,2025-10-14T18:04:53.484634,N0064,N0006,192.0.2.59,198.51.100.142,54141,8333,outbound
CONN000143,2025-10-14T17:45:47.639075,2025-10-14T18:07:06.484634,N0066,N0006,198.51.100.248,198.51.100.142,47524,8333,outbound
CONN000144,2025-10-14T17:43:53.639075,2025-10-14T18:06:37.484634,N0006,N0076,198.51.100.142,192.0.2.213,59438,8333,outbound
CONN000145,2025-10-14T17:47:10.639075,2025-10-14T18:05:38.484634,N0006,N0077,198.51.100.142,203.0.113.70,53039,8333,outbound
CONN000146,2025-10-14T17:46:36.639075,2025-10-14T18:05:11.484634,N0006,N0083,198.51.100.142,198.51.100.145,14195,8333,outbound
CONN000147,2025-10-14T17:46:29.639075,2025-10-14T18:08:21.484634,N0091,N0006,203.0.113.230,198.51.100.142,2746,8333,outbound
CONN000148,2025-10-14T17:43:37.639075,2025-10-14T18:07:17.484634,N0006,N0093,198.51.100.142,203.0.113.178,31655,8333,outbound
CONN000149,2025-10-14T17:43:48.639075,2025-10-14T18:05:15.484634,N0099,N0006,203.0.113.228,198.51.100.142,41128,8333,outbound
CONN000150,2025-10-14T17:47:57.639075,2025-10-14T18:06:47.484634,N0107,N0006,198.51.100.184,198.51.100.142,27117,8333,outbound
CONN000151,2025-10-14T17:44:25.639075,2025-10-14T18:08:38.484634,N0114,N0006,192.0.2.3,198.51.100.142,27945,8333,outbound
CONN000152,2025-10-14T17:43:36.639075,2025-10-14T18:04:46.484634,N0118,N0006,198.51.100.204,198.51.100.142,9237,8333,outbound
CONN000153,2025-10-14T17:47:53.639075,2025-10-14T18:07:59.484634,N0119,N0006,198.51.100.106,198.51.100.142,31552,8333,outbound
CONN000154,2025-10-14T17:45:34.639075,2025-10-14T18:05:14.484634,N0134,N0006,203.0.113.146,198.51.100.142,58561,8333,outbound
CONN000155,2025-10-14T17:43:48.639075,2025-10-14T18:09:09.484634,N0139,N0006,192.0.2.208,198.51.100.142,12949,8333,outbound
CONN000156,2025-10-14T17:47:24.639075,2025-10-14T18:07:50.484634,N0143,N0006,198.51.100.222,198.51.100.142,33979,8333,outbound
CONN000157,2025-10-14T17:48:02.639075,2025-10-14T18:05:12.484634,N0009,N0007,198.51.100.59,192.0.2.89,34978,8333,outbound
CONN000158,2025-10-14T17:47:06.639075,2025-10-14T18:05:31.484634,N0007,N0010,192.0.2.89,203.0.113.168,22169,8333,outbound
CONN000159,2025-10-14T17:46:35.639075,2025-10-14T18:07:06.484634,N0014,N0007,203.0.113.112,192.0.2.89,63118,8333,outbound
CONN000160,2025-10-14T17:46:05.639075,2025-10-14T18:04:49.484634,N0015,N0007,192.0.2.106,192.0.2.89,17447,8333,outbound
CONN000161,2025-10-14T17:43:48.639075,2025-10-14T18:06:29.484634,N0007,N0019,192.0.2.89,192.0.2.37,9227,8333,outbound
CONN000162,2025-10-14T17:43:57.639075,2025-10-14T18:04:56.484634,N0020,N0007,198.51.100.207,192.0.2.89,33960,8333,outbound
CONN000163,2025-10-14T17:43:33.639075,2025-10-14T18:05:27.484634,N0021,N0007,203.0.113.92,192.0.2.89,12243,8333,outbound
CONN000164,2025-10-14T17:45:38.639075,2025-10-14T18:08:57.484634,N0025,N0007,198.51.100.74,192.0.2.89,3723,8333,outbound
CONN000165,2025-10-14T17:48:16.639075,2025-10-14T18:04:50.484634,N0030,N0007,198.51.100.187,192.0.2.89,4003,8333,outbound
CONN000166,2025-10-14T17:43:35.639075,2025-10-14T18:06:24.484634,N0033,N0007,203.0.113.77,192.0.2.89,43696,8333,outbound
CONN000167,2025-10-14T17:43:38.639075,2025-10-14T18:07:42.484634,N0007,N0041,192.0.2.89,203.0.113.249,41532,8333,outbound
CONN000168,2025-10-14T17:44:16.639075,2025-10-14T18:08:48.484634,N0044,N0007,192.0.2.151,192.0.2.89,20007,8333,outbound
CONN000169,2025-10-14T17:45:56.639075,2025-10-14T18:08:16.484634,N0049,N0007,198.51.100.108,192.0.2.89,17072,8333,outbound
CONN000170,2025-10-14T17:45:03.639075,2025-10-14T18:06:41.484634,N0056,N0007,203.0.113.235,192.0.2.89,30747,8333,outbound
CONN000171,2025-10-14T17:48:00.639075,2025-10-14T18:05:29.484634,N0007,N0058,192.0.2.89,198.51.100.165,29833,18333,outbound
CONN000172,2025-10-14T17:44:33.639075,2025-10-14T18:05:53.484634,N0007,N0064,192.0.2.89,192.0.2.59,23318,18333,outbound
CONN000173,2025-10-14T17:45:50.639075,2025-10-14T18:06:52.484634,N0074,N0007,192.0.2.11,192.0.2.89,49140,8333,outbound
CONN000174,2025-10-14T17:45:34.639075,2025-10-14T18:07:33.484634,N0082,N0007,198.51.100.12,192.0.2.89,9593,8333,outbound
CONN000175,2025-10-14T17:44:07.639075,2025-10-14T18:08:56.484634,N0086,N0007,192.0.2.87,192.0.2.89,7982,8333,outbound
CONN000176,2025-10-14T17:44:32.639075,2025-10-14T18:05:11.484634,N0007,N0087,192.0.2.89,198.51.100.122,18553,8333,outbound
CONN000177,2025-10-14T17:47:18.639075,2025-10-14T18:04:58.484634,N0007,N0110,192.0.2.89,203.0.113.37,4340,8333,outbound
CONN000178,2025-10-14T17:45:14.639075,2025-10-14T18:07:43.484634,N0007,N0111,192.0.2.89,203.0.113.129,17294,8333,outbound
CONN000179,2025-10-14T17:47:09.639075,2025-10-14T18:06:56.484634,N0123,N0007,198.51.100.253,192.0.2.89,62218,8333,outbound
CONN000180,2025-10-14T17:45:50.639075,2025-10-14T18:05:46.484634,N0126,N0007,203.0.113.215,192.0.2.89,51035,8333,outbound
CONN000181,2025-10-14T17:44:07.639075,2025-10-14T18:08:08.484634,N0007,N0132,192.0.2.89,192.0.2.40,33710,8433,outbound
CONN000182,2025-10-14T17:44:16.639075,2025-10-14T18:04:20.484634,N0014,N0008,203.0.113.112,203.0.113.25,6925,8333,outbound
CONN000183,2025-10-14T17:44:12.639075,2025-10-14T18:08:03.484634,N0022,N0008,203.0.113.101,203.0.113.25,64376,8333,outbound
CONN000184,2025-10-14T17:43:32.639075,2025-10-14T18:07:09.484634,N0008,N0035,203.0.113.25,203.0.113.82,4212,8333,outbound
CONN000185,2025-10-14T17:44:17.639075,2025-10-14T18:08:09.484634,N0008,N0039,203.0.113.25,192.0.2.16,19750,8333,outbound
CONN000186,2025-10-14T17:47:35.639075,2025-10-14T18:07:49.484634,N0058,N0008,198.51.100.165,203.0.113.25,9801,8333,outbound
CONN000187,2025-10-14T17:45:23.639075,2025-10-14T18:07:35.484634,N0061,N0008,198.51.100.224,203.0.113.25,25006,8333,outbound
CONN000188,2025-10-14T17:48:04.639075,2025-10-14T18:09:00.484634,N0008,N0071,203.0.113.25,198.51.100.67,37843,8333,outbound
CONN000189,2025-10-14T17:43:47.639075,2025-10-14T18:06:36.484634,N0008,N0080,203.0.113.25,192.0.2.102,5842,8333,outbound
CONN000190,2025-10-14T17:44:40.639075,2025-10-14T18:08:50.484634,N0008,N0083,203.0.113.25,198.51.100.145,19355,8333,outbound
CONN000191,2025-10-14T17:47:30.639075,2025-10-14T18:05:14.484634,N0088,N0008,192.0.2.216,203.0.113.25,64927,8333,outbound
CONN000192,2025-10-14T17:45:19.639075,2025-10-14T18:07:02.484634,N0008,N0133,203.0.113.25,192.0.2.186,37582,8333,outbound
